"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","244","Dhingra Park Trail, Punjabi Bagh Cooperative Housing Soceity, East Punjabi Bagh, Punjabi Bagh, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1639,994,2700
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","245","N-1/17, Block M, Mangolpuri, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2546,1646,3936
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","246","nullShiv Mandir Marg, Block G, Lajpat Nagar I, Lajpat Nagar, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1620,1173,2237
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","247","9/2082, Pocket 2, Block RZ, Palam Colony, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2389,1697,3362
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","248","Unnamed Road, Harijan Basti, Rajokri, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2372,1644,3421
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","249","46, M.S Park, Vishwas Nagar, Shahdara, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2279,1563,3321
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","250","719B, Madipur JJ Colony, Block B, Janta Colony, Paschim Vihar, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1873,1180,2971
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","251","A25, Block R, Pocket A, Rajender Nagar Part 1, New Rajinder Nagar, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",622,293,1319
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","252","813, Sector 1, RK Puram, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1771,1218,2573
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","253","0 Chaudhary Harsukh Marg, B6, Block B6, Humayunpur, Safdarjung Enclave, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1705,1215,2392
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","254","Squadron Leader Mohinder Kumar Jain Marg, Block B, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1811,1303,2516
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","255","1700 Uday Chand Marg, Arya Basti, Zafar Nagar, Kotla Mubarakpur, South Extension I, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1468,1044,2062
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","256","D-70, Mahavir Enclave I, Mahavir Enclave Part 2, Mahavir Enclave, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2379,1683,3361
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","257","y 788, Block W, Mangolpur Khurd, Mangolpuri, नई दिल्ली","12/1/2018 - 12/31/2018, Every day, Daily Average",2556,1664,3926
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","258","Sant Sujan Singh Marg, JJ Colony, Block N, Tagore Garden, Tagore Garden Extension, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2044,1276,3271
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","259","Jogging Lane, Pocket B-C, Sector-A, Vasant Kunj, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2486,1747,3537
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","260","Unnamed Road, Sector A1, Narela, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",4011,3001,5360
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","261","Nangli Ibrahimpur Road, Kadipur, Kushak Colony, Kadipur Village, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2637,1928,3605
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","262","110084, Suleman Majra Burari, Burari, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2843,2018,4005
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","263","200 Pirwali Gali, Block P, Block P, Patparganj, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1522,1061,2182
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","264","Noida Link Road, Nehru Enclave, Shakarpur Khas, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1385,929,2062
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","265","0 Lane Number 8, Krishan Kunj Extension Part 2, Block G, Vishwakarma Park, Laxmi Nagar, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1181,780,1787
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","266","Yamuna Marginal Bandh Marg, Block A, Shastri Park, Jagjit Nagar, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1780,1166,2715
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","267","nullPanduk Shila Marg, Kaithwara Jagjivan Nagar, New Usmanpur, Shahdara, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1427,902,2256
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","268","null5th Pustha Road, Block B, Bhajanpura, Shahdara, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1885,1236,2874
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","269","Street Number 2, Chandu Nagar, New Mustafabad, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2399,1707,3370
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","272","Anuvrat Marg, Butterfly Park, Qila Rai Pithora, Mehrauli, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2584,1822,3663
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","273","0 Pt Surya Pandey Marg, Devli, Block C, Devli, Sangam Vihar, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2825,2036,3918
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","274","295/5, Block L 2, Devli, Sangam Vihar, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",3114,2207,4393
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","275","125/16, Jogabai Extension, Zakir Nagar, Okhla, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2117,1520,2948
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","276","MCD Office, South delhi, Najafgarh Dhansa Road, Najafgarh Village, Najafgarh, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",3714,2476,5568
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","277","700 Outer Ring Road, Bhalswa Jahangir Village, Jahangirpuri, नई दिल्ली","12/1/2018 - 12/31/2018, Every day, Daily Average",2568,1935,3406
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","278","nullNangloi - Najafgarh Road, Brahampuri Colony, Kotla Vihar Phase 2, Ranhola, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",3194,2177,4685
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","279","Nightingale Road, Budella, Vikaspuri, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2713,1813,4058
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","280","nullHastsal Road, Block A2, JJ Colony, Uttam Nagar, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2347,1555,3541
